"Net Profit: All","Net Profit: All %","Net Profit: Long","Net Profit: Long %","Net Profit: Short","Net Profit: Short %","Gross Profit: All","Gross Profit: All %","Gross Profit: Long","Gross Profit: Long %","Gross Profit: Short","Gross Profit: Short %","Gross Loss: All","Gross Loss: All %","Gross Loss: Long","Gross Loss: Long %","Gross Loss: Short","Gross Loss: Short %","Max Drawdown: All","Max Drawdown: All %","Buy & Hold Return: All","Buy & Hold Return: All %","Sharpe Ratio: All","Sortino Ratio: All","Profit Factor: All","Profit Factor: Long","Profit Factor: Short","Max Contracts Held: All","Max Contracts Held: Long","Max Contracts Held: Short","Open PL: All","Open PL: All %","Commission Paid: All","Commission Paid: Long","Commission Paid: Short","Total Closed Trades: All","Total Closed Trades: Long","Total Closed Trades: Short","Total Open Trades: All","Total Open Trades: Long","Total Open Trades: Short","Number Winning Trades: All","Number Winning Trades: Long","Number Winning Trades: Short","Number Losing Trades: All","Number Losing Trades: Long","Number Losing Trades: Short","Percent Profitable: All","Percent Profitable: Long","Percent Profitable: Short","Avg Trade: All","Avg Trade: All %","Avg Trade: Long","Avg Trade: Long %","Avg Trade: Short","Avg Trade: Short %","Avg Winning Trade: All","Avg Winning Trade: All %","Avg Winning Trade: Long","Avg Winning Trade: Long %","Avg Winning Trade: Short","Avg Winning Trade: Short %","Avg Losing Trade: All","Avg Losing Trade: All %","Avg Losing Trade: Long","Avg Losing Trade: Long %","Avg Losing Trade: Short","Avg Losing Trade: Short %","Ratio Avg Win / Avg Loss: All","Ratio Avg Win / Avg Loss: Long","Ratio Avg Win / Avg Loss: Short","Largest Winning Trade: All","Largest Winning Trade: All %","Largest Winning Trade: Long","Largest Winning Trade: Long %","Largest Winning Trade: Short","Largest Winning Trade: Short %","Largest Losing Trade: All","Largest Losing Trade: All %","Largest Losing Trade: Long","Largest Losing Trade: Long %","Largest Losing Trade: Short","Largest Losing Trade: Short %","Avg # Bars in Trades: All","Avg # Bars in Trades: Long","Avg # Bars in Trades: Short","Avg # Bars in Winning Trades: All","Avg # Bars in Winning Trades: Long","Avg # Bars in Winning Trades: Short","Avg # Bars in Losing Trades: All","Avg # Bars in Losing Trades: Long","Avg # Bars in Losing Trades: Short","Margin Calls: All","Margin Calls: Long","Margin Calls: Short","__Long Trades","__Short Trades","__Type of Take Profit","__Type of Stoploss","__Stop Loss Long %","__Take Profit Long %","__Stop Loss Short %","__Take Profit Short %","__Highest High lookback","__Lowest Low Lookback","__Profit factor Long (Risk to Reward)","__Profit factor Short (Risk to Reward)","__Risk Adjustment","__Swing Lookback","__ATR length","__Use ATR Trailing Stop","__ATR Trailing Stop Multiplier","__ATR Trailing Stop Source","__R:R To Trigger Exit","__Set Max Total DrawDown","__Max Drawdown (%)","__Stop Loss Buffer - Long","__Stop Loss Buffer - Short","__% of Portfolio","__Leverage","__Show Liquadation line (BETA)","__Maintenance Margin Rate","__Activate Threshold Risk:Reward?","__Threshold Risk:Reward","__Take Multi Profit X3","__% to take at First TP","__Level 1","__% to take at Second TP","__Level 2","__% to take at Third TP","__Level 3","__Enable Repainting?","__Use Limit exit","__Allow Reversal Trades","__Close trade on reverse strategy","__Wait for confirmation of new entry on reversal","__Wait for confirmed?","__Use Moving Averages?","__Inverse Moving Averages?","__Revserse all?","__MA #1","__MA Type #1","__MA Length #1","__MA #2","__MA Type #2","__MA Length #2","__MA #3","__MA Type #3","__MA Length #3","__MA #4","__MA Type #4","__MA Length #4","__MA #5","__MA Type #5","__MA Length #5","__HMA BAR","__HMA Length","__Fast EMA","__Fast EMA Source","__Slow EMA","__Fast EMA Source two","__WT Channel Length","__WT Average Length","__WT MA Source","__WT MA Length","__WT Overbought Level 1","__WT Overbought Level 2","__WT Overbought Level 3","__WT Oversold Level 1","__WT Oversold Level 2","__WT Oversold Level 3","__RSI Source","__RSI Length","__RSI Oversold","__RSI Overbought","__Use Log?","__Force Exit On Exit Signal ?","__Enable Max Trades?","__Max Trades Per Direction?","__Enable ADX ?","__ADX Smoothing","__DI Length","__ADX Above line","__Enable RSI ?","__RSI Overbrought","__Enable MFI ?","__MFI Source","__MFI Length","__MFI Overbrought","__MFI Oversold","__Enable Flat Market ?","__Flat Market Above Line","__Use vWap / ema","__VWap Source","__VWap2 Source","__Vwap Length","__Use Time Session Filter","__Timezone","__Time Session To Ignore Trades","__Use Date Session Filter","__Mon","__Tue","__Wed","__Thur","__Fri","__Sat","__Sun","__Use Strategy Alerts? - Please read the tooltip","__Alert Frequency","__API Entry - Long","__API Exit - Long","__API Entry - Short","__API Exit - Short","__API First TP - Long","__API First TP - Short","__API Second TP - Long","__API Second TP - Short","__Plot Entry/SL/TP","__Plot trail trigger price","__Dashboard On / Off","__Dashboard Distance","__Notes","comment"
51081.45,51.08,26850.14,26.85,24231.31,24.23,550984.65,550.98,293826.47,293.83,257158.18,257.16,499903.2,499.9,266976.33,266.98,232926.88,232.93,35188.06,22.05,484978.95,484.98,0.222,0.394,1.102,1.101,1.104,23,19,23,0,0,41085.7,22002.65,19083.04,327,179,148,0,0,0,233,128,105,94,51,43,71.25,71.51,70.95,156.21,0.16,150,0.15,163.73,0.16,2364.74,2.36,2295.52,2.3,2449.13,2.45,5318.12,5.32,5234.83,5.23,5416.9,5.42,0.445,0.439,0.452,2988.01,2.01,2988.01,2.01,2928.85,1.93,9460.78,7.4,6535.16,4.13,9460.78,7.4,41,40,42,36,38,32,53,44,64,0,0,0,true,true,"Fixed Percent","Fixed Percent",4,2,4,2,10,10,1.5,1.5,1,5,14,false,1,"High/Low",0,false,20,0,0,100,1,false,0.5,false,1,false,33,33,33,66,100,100,false,true,false,false,false,true,"Close over/under MA5",false,false,true,"EMA",9,true,"EMA",21,true,"EMA",55,true,"EMA",100,true,"EMA",200,false,100,50,"close",200,"close",8,12,"hlc3",3,52,60,100,-53,-60,-75,"close",14,50,60,true,false,false,5,false,14,14,35,false,50,false,"hlc3",14,50,50,false,30,false,"close","close",3,false,"GMT+2","00:00",false,true,true,true,true,true,true,true,false,"Once per bar","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc",true,true,true,13," ","Default parameters."
12912.62,12.91,24226.04,24.23,-11313.42,-11.31,554501.55,554.5,270710.01,270.71,283791.54,283.79,541588.93,541.59,246483.97,246.48,295104.96,295.1,71784.5,39.88,484715.1,484.72,0.082,0.134,1.024,1.098,0.962,23,17,23,0,0,33414.35,20283.78,13130.57,278,174,104,0,0,0,173,125,48,105,49,56,62.23,71.84,46.15,46.45,0.05,139.23,0.14,-108.78,-0.11,3205.21,3.21,2165.68,2.17,5912.32,5.91,5157.99,5.16,5030.29,5.03,5269.73,5.27,0.621,0.431,1.122,8119.91,4.72,3226.52,2.01,8119.91,4.72,9202.26,7.4,7092.35,4.13,9202.26,7.4,59,39,91,49,37,80,74,44,100,0,0,0,true,true,"Fixed Percent","Fixed Percent",4,2,4,4.8,10,10,1.5,1.5,1,5,14,false,1,"High/Low",0,false,20,0,0,100,1,false,0.5,false,1,false,33,33,33,66,100,100,false,true,false,false,false,true,"Close over/under MA5",false,false,true,"EMA",9,true,"EMA",21,true,"EMA",55,true,"EMA",100,true,"EMA",200,false,100,50,"close",200,"close",8,12,"hlc3",3,52,60,100,-53,-60,-75,"close",14,50,60,true,false,false,5,false,14,14,35,false,50,false,"hlc3",14,50,50,false,30,false,"close","close",3,false,"GMT+2","00:00",false,true,true,true,true,true,true,true,false,"Once per bar","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc",true,true,true,13," ",""
62599.88,62.6,26914.47,26.91,35685.41,35.69,581444.18,581.44,309997.56,310,271446.62,271.45,518844.29,518.84,283083.08,283.08,235761.21,235.76,36386.96,20.83,484715.1,484.72,0.268,0.49,1.121,1.095,1.151,23,19,23,0,0,43579.64,23247.8,20331.84,327,179,148,0,0,0,232,128,104,95,51,44,70.95,71.51,70.27,191.44,0.19,150.36,0.15,241.12,0.24,2506.22,2.51,2421.86,2.42,2610.06,2.61,5461.52,5.46,5550.65,5.55,5358.21,5.36,0.459,0.436,0.487,3271.3,2.01,3271.3,2.01,3156.86,1.93,9550.05,7.4,7154.7,4.13,9550.05,7.4,40,40,41,36,38,32,52,44,62,0,0,0,true,true,"Fixed Percent","Fixed Percent",4,2,3.7,2,10,10,1.5,1.5,1,5,14,false,1,"High/Low",0,false,20,0,0,100,1,false,0.5,false,1,false,33,33,33,66,100,100,false,true,false,false,false,true,"Close over/under MA5",false,false,true,"EMA",9,true,"EMA",21,true,"EMA",55,true,"EMA",100,true,"EMA",200,false,100,50,"close",200,"close",8,12,"hlc3",3,52,60,100,-53,-60,-75,"close",14,50,60,true,false,false,5,false,14,14,35,false,50,false,"hlc3",14,50,50,false,30,false,"close","close",3,false,"GMT+2","00:00",false,true,true,true,true,true,true,true,false,"Once per bar","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc",true,true,true,13," ",""
49263.82,49.26,12130.5,12.13,37133.32,37.13,550895.62,550.9,287294.47,287.29,263601.15,263.6,501631.79,501.63,275163.96,275.16,226467.83,226.47,39114.49,22.93,485311.38,485.31,0.251,0.453,1.098,1.044,1.164,22,18,22,0,0,42464.28,22784.79,19679.49,332,183,149,0,0,0,229,124,105,103,59,44,68.98,67.76,70.47,148.39,0.15,66.29,0.07,249.22,0.25,2405.66,2.41,2316.89,2.32,2510.49,2.51,4870.21,4.87,4663.8,4.66,5147,5.15,0.494,0.497,0.488,3199.29,2.01,3199.29,2.01,3127.56,1.93,9129.98,7.4,6159.37,3.63,9129.98,7.4,38,35,42,34,35,32,48,36,64,0,0,0,true,true,"Fixed Percent","Fixed Percent",3.5,2,3.7,2,10,10,1.5,1.5,1,5,14,false,1,"High/Low",0,false,20,0,0,100,1,false,0.5,false,1,false,33,33,33,66,100,100,false,true,false,false,false,true,"Close over/under MA5",false,false,true,"EMA",9,true,"EMA",21,true,"EMA",55,true,"EMA",100,true,"EMA",200,false,100,50,"close",200,"close",8,12,"hlc3",3,52,60,100,-53,-60,-75,"close",14,50,60,true,false,false,5,false,14,14,35,false,50,false,"hlc3",14,50,50,false,30,false,"close","close",3,false,"GMT+2","00:00",false,true,true,true,true,true,true,true,false,"Once per bar","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc",true,true,true,13," ",""
133619.21,133.62,71420.19,71.42,62199.02,62.2,802203.01,802.2,447238.06,447.24,354964.94,354.96,668583.8,668.58,375817.88,375.82,292765.92,292.77,67819.46,24.77,485197.55,485.2,0.325,0.75,1.2,1.19,1.212,24,19,24,0,0,44942.66,18735.43,26207.24,257,112,145,0,0,0,163,60,103,94,52,42,63.42,53.57,71.03,519.92,0.52,637.68,0.64,428.96,0.43,4921.49,4.92,7453.97,7.45,3446.26,3.45,7112.59,7.11,7227.27,7.23,6970.62,6.97,0.692,1.031,0.494,12488.47,4.71,12488.47,4.71,4733.68,1.93,11381.92,7.4,11381.92,4.13,9700.2,7.4,67,103,40,64,118,32,73,86,58,0,0,0,true,true,"Fixed Percent","Fixed Percent",4,4.8,3.7,2,10,10,1.5,1.5,1,5,14,false,1,"High/Low",0,false,20,0,0,100,1,false,0.5,false,1,false,33,33,33,66,100,100,false,true,false,false,false,true,"Close over/under MA5",false,false,true,"EMA",9,true,"EMA",21,true,"EMA",55,true,"EMA",100,true,"EMA",200,false,100,50,"close",200,"close",8,12,"hlc3",3,52,60,100,-53,-60,-75,"close",14,50,60,true,false,false,5,false,14,14,35,false,50,false,"hlc3",14,50,50,false,30,false,"close","close",3,false,"GMT+2","00:00",false,true,true,true,true,true,true,true,false,"Once per bar","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc",true,true,true,13," ",""
58532.85,58.53,47818.48,47.82,10714.37,10.71,676959.66,676.96,353714.97,353.71,323244.69,323.24,618426.81,618.43,305896.49,305.9,312530.32,312.53,52217.76,30.72,484715.1,484.72,0.185,0.357,1.095,1.156,1.034,23,18,23,0,0,31401.91,15024.96,16376.95,223,112,111,0,0,0,115,59,56,108,53,55,51.57,52.68,50.45,262.48,0.26,426.95,0.43,96.53,0.1,5886.61,5.89,5995.17,6,5772.23,5.77,5726.17,5.73,5771.63,5.77,5682.37,5.68,1.028,1.039,1.016,9082.23,4.71,9082.23,4.71,7587.7,3.91,9073.81,7.4,8240.83,4.13,9073.81,7.4,86,98,74,86,110,61,86,85,87,0,0,0,true,true,"Fixed Percent","Fixed Percent",4,4.8,3.7,4,10,10,1.5,1.5,1,5,14,false,1,"High/Low",0,false,20,0,0,100,1,false,0.5,false,1,false,33,33,33,66,100,100,false,true,false,false,false,true,"Close over/under MA5",false,false,true,"EMA",9,true,"EMA",21,true,"EMA",55,true,"EMA",100,true,"EMA",200,false,100,50,"close",200,"close",8,12,"hlc3",3,52,60,100,-53,-60,-75,"close",14,50,60,true,false,false,5,false,14,14,35,false,50,false,"hlc3",14,50,50,false,30,false,"close","close",3,false,"GMT+2","00:00",false,true,true,true,true,true,true,true,false,"Once per bar","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc",true,true,true,13," ",""
79667.88,79.67,24816.58,24.82,54851.3,54.85,759222.86,759.22,415875.24,415.88,343347.61,343.35,679554.98,679.55,391058.66,391.06,288496.31,288.5,96528.32,36.92,484715.1,484.72,0.257,0.537,1.117,1.063,1.19,24,19,24,0,0,45539.4,20052.99,25486.41,268,121,147,0,0,0,161,57,104,107,64,43,60.07,47.11,70.75,297.27,0.3,205.1,0.21,373.14,0.37,4715.67,4.72,7296.06,7.3,3301.42,3.3,6350.98,6.35,6110.29,6.11,6709.22,6.71,0.743,1.194,0.492,11785.79,4.71,11785.79,4.71,4459.23,1.93,9709.4,7.4,9169.62,3.53,9709.4,7.4,61,85,40,58,105,32,64,67,59,0,0,0,true,true,"Fixed Percent","Fixed Percent",3.4,4.8,3.7,2,10,10,1.5,1.5,1,5,14,false,1,"High/Low",0,false,20,0,0,100,1,false,0.5,false,1,false,33,33,33,66,100,100,false,true,false,false,false,true,"Close over/under MA5",false,false,true,"EMA",9,true,"EMA",21,true,"EMA",55,true,"EMA",100,true,"EMA",200,false,100,50,"close",200,"close",8,12,"hlc3",3,52,60,100,-53,-60,-75,"close",14,50,60,true,false,false,5,false,14,14,35,false,50,false,"hlc3",14,50,50,false,30,false,"close","close",3,false,"GMT+2","00:00",false,true,true,true,true,true,true,true,false,"Once per bar","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc",true,true,true,13," ",""
54793.85,54.79,11310.31,11.31,43483.54,43.48,651406.54,651.41,342607.81,342.61,308798.73,308.8,596612.69,596.61,331297.5,331.3,265315.19,265.32,73161.25,33.61,485130.06,485.13,0.203,0.455,1.092,1.034,1.164,24,19,24,0,0,43123.03,20055.99,23067.04,286,136,150,0,0,0,158,53,105,128,83,45,55.24,38.97,70,191.59,0.19,83.16,0.08,289.89,0.29,4122.83,4.12,6464.3,6.46,2940.94,2.94,4661.04,4.66,3991.54,3.99,5895.89,5.9,0.885,1.62,0.499,9752.81,4.71,9752.81,4.71,3888.03,1.93,9637.65,7.4,5684.99,2.63,9637.65,7.4,53,66,42,52,90,32,55,50,64,0,0,0,true,true,"Fixed Percent","Fixed Percent",2.5,4.8,3.7,2,10,10,1.5,1.5,1,5,14,false,1,"High/Low",0,false,20,0,0,100,1,false,0.5,false,1,false,33,33,33,66,100,100,false,true,false,false,false,true,"Close over/under MA5",false,false,true,"EMA",9,true,"EMA",21,true,"EMA",55,true,"EMA",100,true,"EMA",200,false,100,50,"close",200,"close",8,12,"hlc3",3,52,60,100,-53,-60,-75,"close",14,50,60,true,false,false,5,false,14,14,35,false,50,false,"hlc3",14,50,50,false,30,false,"close","close",3,false,"GMT+2","00:00",false,true,true,true,true,true,true,true,false,"Once per bar","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc",true,true,true,13," ",""
67316.66,67.32,47862.66,47.86,19454,19.45,702718.77,702.72,361438.38,361.44,341280.39,341.28,635402.11,635.4,313575.72,313.58,321826.39,321.83,52673.67,29.92,485148.49,485.15,0.2,0.394,1.106,1.153,1.06,23,19,23,0,0,32236.96,15376.92,16860.04,223,112,111,0,0,0,115,59,56,108,53,55,51.57,52.68,50.45,301.87,0.3,427.35,0.43,175.26,0.18,6110.6,6.11,6126.07,6.13,6094.29,6.09,5883.35,5.88,5916.52,5.92,5851.39,5.85,1.039,1.035,1.042,9402.02,4.71,9402.02,4.71,8055.89,4.01,9108.79,7.4,8530.95,4.13,9108.79,7.4,86,98,74,86,110,61,86,85,87,0,0,0,true,true,"Fixed Percent","Fixed Percent",4,4.8,3.7,4.1,10,10,1.5,1.5,1,5,14,false,1,"High/Low",0,false,20,0,0,100,1,false,0.5,false,1,false,33,33,33,66,100,100,false,true,false,false,false,true,"Close over/under MA5",false,false,true,"EMA",9,true,"EMA",21,true,"EMA",55,true,"EMA",100,true,"EMA",200,false,100,50,"close",200,"close",8,12,"hlc3",3,52,60,100,-53,-60,-75,"close",14,50,60,true,false,false,5,false,14,14,35,false,50,false,"hlc3",14,50,50,false,30,false,"close","close",3,false,"GMT+2","00:00",false,true,true,true,true,true,true,true,false,"Once per bar","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc",true,true,true,13," ",""
48868.35,48.87,44934.61,44.93,3933.74,3.93,684580.84,684.58,352475.26,352.48,332105.58,332.11,635712.49,635.71,307540.65,307.54,328171.84,328.17,72914.9,34.13,485063.38,485.06,0.168,0.308,1.077,1.146,1.012,23,18,23,0,0,30604.91,15037.16,15567.75,216,112,104,0,0,0,106,59,47,110,53,57,49.07,52.68,45.19,226.24,0.23,401.2,0.4,37.82,0.04,6458.31,6.46,5974.16,5.97,7066.08,7.07,5779.2,5.78,5802.65,5.8,5757.4,5.76,1.118,1.03,1.227,9916.72,4.72,9916.72,4.71,9790.8,4.72,9356.3,7.4,9038.07,4.13,9356.3,7.4,91,98,83,92,110,70,89,85,93,0,0,0,true,true,"Fixed Percent","Fixed Percent",4,4.8,3.7,4.8,10,10,1.5,1.5,1,5,14,false,1,"High/Low",0,false,20,0,0,100,1,false,0.5,false,1,false,33,33,33,66,100,100,false,true,false,false,false,true,"Close over/under MA5",false,false,true,"EMA",9,true,"EMA",21,true,"EMA",55,true,"EMA",100,true,"EMA",200,false,100,50,"close",200,"close",8,12,"hlc3",3,52,60,100,-53,-60,-75,"close",14,50,60,true,false,false,5,false,14,14,35,false,50,false,"hlc3",14,50,50,false,30,false,"close","close",3,false,"GMT+2","00:00",false,true,true,true,true,true,true,true,false,"Once per bar","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc","3commas,alerteron etc",true,true,true,13," ",""
